image_path,image_basename,width,height,ratio,face_count,face_top_pct,headroom_pct,focus_y_pct,crop_safe
C:\laragon\www\sports-warehouse-home-page\images\brands\stax\women\second_left_seamless_campaign\scoop_long_sleeve\05.png,05.png,392,1180,0.3322,1,5.13,5.13,8.0,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\underarmour\kids\girls\sports_bra\ua_crossback\01.png,01.png,1496,1950,0.7672,1,7.19,7.19,12.2,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\underarmour\kids\girls\sports_bra\ua_crossback\02.png,02.png,1440,1950,0.7385,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\underarmour\kids\girls\sports_bra\ua_crossback\03.png,03.png,1656,1950,0.8492,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\underarmour\kids\girls\sports_bra\ua_crossback\04.png,04.png,1536,1560,0.9846,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\underarmour\kids\girls\sports_bra\ua_crossback\05.png,05.png,1536,1536,1.0,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\underarmour\men\poly_tracksuit\01.png,01.png,744,1147,0.6486,1,7.19,7.19,8.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\underarmour\men\poly_tracksuit\02.png,02.png,492,942,0.5223,1,8.59,8.59,9.3,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\underarmour\men\poly_tracksuit\03.png,03.png,750,942,0.7962,1,14.88,14.88,21.3,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\underarmour\men\poly_tracksuit\04.png,04.png,516,957,0.5392,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\underarmour\men\poly_tracksuit\05.png,05.png,750,957,0.7837,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\underarmour\men\poly_tracksuit\06.png,06.png,468,918,0.5098,1,6.51,6.51,8.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\underarmour\men\poly_tracksuit\07.png,07.png,327,909,0.3597,1,6.46,6.46,8.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\underarmour\men\ua_storm_vanish_track_pants\01.png,01.png,633,2000,0.3165,1,5.57,5.57,8.0,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\underarmour\men\ua_storm_vanish_track_pants\02.png,02.png,438,957,0.4577,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\underarmour\men\ua_storm_vanish_track_pants\03.png,03.png,750,957,0.7837,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\underarmour\men\ua_storm_vanish_track_pants\04.png,04.png,459,957,0.4796,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\underarmour\men\ua_storm_vanish_track_pants\05.png,05.png,750,912,0.8224,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\underarmour\women\wordmark_strappy_sports_bra\01.png,01.png,908,1255,0.7235,1,16.68,16.68,20.1,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\underarmour\women\wordmark_strappy_sports_bra\02.png,02.png,489,957,0.511,1,9.9,9.9,12.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\underarmour\women\wordmark_strappy_sports_bra\03.png,03.png,537,957,0.5611,1,12.37,12.37,13.6,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\underarmour\women\wordmark_strappy_sports_bra\04.png,04.png,675,957,0.7053,1,18.01,18.01,27.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\underarmour\women\wordmark_strappy_sports_bra\05.png,05.png,336,879,0.3823,1,8.45,8.45,8.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\wilson\men\active_set\parkside_crew\01.png,01.png,640,780,0.8205,1,11.36,11.36,13.1,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\wilson\men\active_set\parkside_crew\02.png,02.png,689,1236,0.5574,1,10.15,10.15,11.8,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\wilson\men\active_set\parkside_crew\03.png,03.png,601,1236,0.4862,1,9.06,9.06,11.5,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\wilson\men\active_set\parkside_crew\04.png,04.png,553,1240,0.446,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\wilson\men\active_set\tournament_shirt\01.png,01.png,636,1152,0.5521,1,10.79,10.79,13.2,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\wilson\men\active_set\tournament_shirt\02.png,02.png,560,1156,0.4844,1,10.42,10.42,12.7,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\wilson\men\active_set\tournament_shirt\03.png,03.png,664,1152,0.5764,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\wilson\men\active_set\tournament_shirt\04.png,04.png,1152,1200,0.96,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\wilson\men\active_set\tournament_shirt\05.png,05.png,1124,1168,0.9623,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\wilson\men\active_set\tournament_shorts\01.png,01.png,453,1152,0.3932,1,5.2,5.2,8.0,0.0
C:\laragon\www\sports-warehouse-home-page\images\brands\wilson\men\active_set\tournament_shorts\02.png,02.png,1041,1292,0.8057,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\wilson\men\active_set\tournament_shorts\03.png,03.png,1009,1292,0.781,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\wilson\men\active_set\tournament_shorts\04.png,04.png,777,1292,0.6014,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\wilson\men\active_set\tournament_shorts\05.png,05.png,921,1292,0.7128,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\wilson\unisex\01.png,01.png,652,839,0.7771,1,12.3,12.3,12.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\wilson\unisex\02.png,02.png,617,838,0.7363,1,14.22,14.22,13.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\wilson\unisex\03.png,03.png,618,839,0.7366,1,13.08,13.08,11.7,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\wilson\unisex\04.png,04.png,617,839,0.7354,1,9.52,9.52,8.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\wilson\unisex\05.png,05.png,615,838,0.7339,2,17.14,17.14,14.9,1.0
C:\laragon\www\sports-warehouse-home-page\images\brands\wilson\unisex\rf_collection\pro_classic\01\a.png,a.png,482,1853,0.2601,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\wilson\unisex\rf_collection\pro_classic\01\b.png,b.png,1869,1394,1.3407,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\wilson\unisex\rf_collection\pro_classic\01\c.png,c.png,532,1344,0.3958,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\brands\wilson\unisex\rf_collection\pro_classic\01\d.png,d.png,922,2453,0.3759,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\logos\01.png,01.png,180,68,2.6471,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\logos\02.png,02.png,1704,552,3.087,0,,,,
"C:\laragon\www\sports-warehouse-home-page\images\logos\ChatGPT Image Jun 14, 2025, 08_03_34 PM.png","ChatGPT Image Jun 14, 2025, 08_03_34 PM.png",1024,1024,1.0,1,25.79,25.79,35.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\logos\self_portrait-ring_fadeout.png,self_portrait-ring_fadeout.png,640,640,1.0,1,31.46,31.46,35.0,1.0
C:\laragon\www\sports-warehouse-home-page\images\logos\sports-warehouse-logo-sw-recommended_apple_size.png,sports-warehouse-logo-sw-recommended_apple_size.png,180,180,1.0,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\logos\sports-warehouse-logo-sw.png,sports-warehouse-logo-sw.png,256,256,1.0,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\logos\sports_warehouse_circle_sw_white_ring_highlight.png,sports_warehouse_circle_sw_white_ring_highlight.png,1000,1000,1.0,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\logos\sports_warehouse_circle_with_sw.png,sports_warehouse_circle_with_sw.png,1000,1000,1.0,0,,,,
C:\laragon\www\sports-warehouse-home-page\images\plus_size\banners\curvy-woman-boxing-personal-trainer.jpeg,curvy-woman-boxing-personal-trainer.jpeg,2788,1471,1.8953,2,14.8,14.8,22.6,1.0
C:\laragon\www\sports-warehouse-home-page\images\plus_size\banners\gym.jpeg,gym.jpeg,7952,5270,1.5089,1,21.85,21.85,24.5,1.0
C:\laragon\www\sports-warehouse-home-page\images\plus_size\banners\women-body_positive-activewear-hugging-smiling.png,women-body_positive-activewear-hugging-smiling.png,3501,2793,1.2535,3,13.62,13.62,19.5,1.0
