"RelPath","Size","Hash"
".venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-expm1.csv","61728","B727D93790FCB659BB00F8310883F2BB2EFBE00647CAD30E079F47F4A7B0C44B"
".venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-log.csv","11963","0833E4CBAE0F8DA5115A1AA41F190B12598C888DB5BF9BA0186CB385D7D46E72"
".venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-log10.csv","70551","756E853C4065471DA9712FBB7AE8BF1ADA93A57CCECB5E3B8A5E79A9D3FEF009"
".venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-log1p.csv","61732","D9A12C1D572F4729BEE39DF90A4BC94EC987CB092DD3564C7E68E5F9DE1FBD52"
".venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-log2.csv","70546","69567B54C439BAB18EC7930C30E52630A06114B144F94EF2E835424DE5D07E8D"
".venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-README.txt","982","19FAE4994FF04E3A4B90E7ED583B866B2103755DD13E93761915505FAD558162"
".venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-sin.csv","59981","1AF3EB414118317D62076CE36DF2B6E895093B1B6A6DF8915205EE00ED5070FD"
".venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-sinh.csv","61722","95CECE61C6165A99316CCB910169A8810E5C2A2EC4C2C43689B88C76925661BC"
".venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-tan.csv","61728","7E7EC3AFDB3AADCA86533B26C89C6F7BF675F09E0051A4A6FAEA3637737F85F9"
".venv/Lib/site-packages/numpy/_core/tests/data/umath-validation-set-tanh.csv","61728","C526397E07DE05737A7DA9785C379DF9551C805232F6A28EA2C6BBBD0E6FD7E5"
".venv/Lib/site-packages/numpy-2.2.6.dist-info/entry_points.txt","172","E265C336124343D187A8C05E449F01DCF962C531669171AA537455B9A736D2AD"
".venv/Lib/site-packages/numpy-2.2.6.dist-info/LICENSE.txt","47709","14256CC3A2C9D32AC284DA96B937FEB44F72DD90BEE2317AC3020166846AD99D"
".venv/Lib/site-packages/opencv_contrib_python-4.12.0.88.dist-info/LICENSE-3RD-PARTY.txt","177945","D8EC888320FCB9D99317A77AF4A4A3A91208676067EC1FA9BC1967A522411730"
".venv/Lib/site-packages/opencv_contrib_python-4.12.0.88.dist-info/LICENSE.txt","1090","EDEF0FAC1EB08D29D34563F724742E078DA2513E196133A12C6AD9FF01E26107"
".venv/Lib/site-packages/opencv_contrib_python-4.12.0.88.dist-info/top_level.txt","4","498F2FADFFEC60E83DF4E3FD7AE873EEADFAA4FCBFD952B9BDB784597C304A87"
".venv/Lib/site-packages/opencv_python-4.12.0.88.dist-info/LICENSE-3RD-PARTY.txt","177945","D8EC888320FCB9D99317A77AF4A4A3A91208676067EC1FA9BC1967A522411730"
".venv/Lib/site-packages/opencv_python-4.12.0.88.dist-info/LICENSE.txt","1090","EDEF0FAC1EB08D29D34563F724742E078DA2513E196133A12C6AD9FF01E26107"
".venv/Lib/site-packages/opencv_python-4.12.0.88.dist-info/top_level.txt","4","498F2FADFFEC60E83DF4E3FD7AE873EEADFAA4FCBFD952B9BDB784597C304A87"
".venv/Lib/site-packages/pandas-2.3.2.dist-info/entry_points.txt","69","3952CA3443ECF90EC85B2A5604BE9FC6FE7AFF3B78B119C423BCDAC28EB2FF4C"
".venv/Lib/site-packages/pillow-11.3.0.dist-info/top_level.txt","4","AE266AAE4FA1C99AA1E5FD59D19C228B774A7F112C07286EF5C53D20E0C5F8D6"
".venv/Lib/site-packages/pip/_vendor/vendor.txt","343","7DAC2AF13D5715F061B38AE38D29787D40373F1F4FDA6B46D9EBEAA8FCA16E17"
".venv/Lib/site-packages/pip-25.2.dist-info/entry_points.txt","87","79E223BB37E77D1D8FAE16E39DBCC553A327492EF49192F1C1A1C7ABA33E6C3D"
".venv/Lib/site-packages/pip-25.2.dist-info/top_level.txt","4","CEEBAE7B8927A3227E5303CF5E0F1F7B34BB542AD7250AC03FBCDE36EC2F1508"
".venv/Lib/site-packages/pip-25.2.dist-info/licenses/AUTHORS.txt","11385","8A811F3069248B37137083DDBE387E918CA63B513D23D76FCC78CB525292E66F"
".venv/Lib/site-packages/pip-25.2.dist-info/licenses/LICENSE.txt","1093","634300A669D49AEAE65B12C6C48C924C51A4CDF3D1FF086DC3456DC8BCAA2104"
".venv/Lib/site-packages/pip-25.2.dist-info/licenses/src/pip/_vendor/cachecontrol/LICENSE.txt","558","86EEEE87BE2A43F3FF1F56496F451F69243926F025FEDBB033666C304C4C161B"
".venv/Lib/site-packages/pip-25.2.dist-info/licenses/src/pip/_vendor/dependency_groups/LICENSE.txt","1099","1AB36E3E2A4BA8631625384F87E9E091DB1FAED034C5B23325B3239ABF2CC525"
".venv/Lib/site-packages/pip-25.2.dist-info/licenses/src/pip/_vendor/distlib/LICENSE.txt","14531","808E10C8A6AB8DEB149FF9B3FB19F447A808094606D712A9CA57FEAD3552599D"
